date,total_deaths,daily_deaths
2020-06-27,1732,0
2020-06-28,1732,0
2020-06-29,1733,1
2020-06-30,1733,0
2020-07-01,1734,1
2020-07-02,1734,0
2020-07-03,1734,0
2020-07-04,1734,0
2020-07-05,1734,0
2020-07-06,1734,0
2020-07-07,1734,0
2020-07-08,1736,2
2020-07-09,1736,0
2020-07-10,1737,1
2020-07-11,1737,0
2020-07-12,1737,0
2020-07-13,1738,1
2020-07-14,1738,0
2020-07-15,1739,1
2020-07-16,1740,1
2020-07-17,1741,1
2020-07-18,1741,0
2020-07-19,1741,0
2020-07-20,1743,2
2020-07-21,1744,1
2020-07-22,1744,0
2020-07-23,1744,0
2020-07-24,1745,1
2020-07-25,1746,1
2020-07-26,1746,0
2020-07-27,1747,1
2020-07-28,1748,1
2020-07-29,1748,0
2020-07-30,1748,0
2020-07-31,1750,2
2020-08-01,1751,1
2020-08-02,1751,0
2020-08-03,1751,0
2020-08-04,1752,1
2020-08-05,1753,1
2020-08-06,1754,1
2020-08-07,1755,1
2020-08-08,1756,1
2020-08-09,1756,0
2020-08-10,1757,1
2020-08-11,1757,0
2020-08-12,1757,0
2020-08-13,1758,1
2020-08-14,1758,0
2020-08-15,1761,3
2020-08-16,1761,0
2020-08-17,1762,1
2020-08-18,1762,0
2020-08-19,1762,0
2020-08-20,1762,0
2020-08-21,1763,1
2020-08-22,1764,1
2020-08-23,1766,2
2020-08-24,1767,1
2020-08-25,1767,0
2020-08-26,1767,0
2020-08-27,1769,2
2020-08-28,1769,0
2020-08-29,1769,0
2020-08-30,1770,1
2020-08-31,1771,1
2020-09-01,1772,1
2020-09-02,1775,3
2020-09-03,1776,1
2020-09-04,1778,2
2020-09-05,1780,2
2020-09-06,1783,3
2020-09-07,1784,1
2020-09-08,1785,1
2020-09-09,1792,7
2020-09-10,1792,0
2020-09-11,1796,4
2020-09-12,1800,4
2020-09-13,1801,1
2020-09-14,1801,0
2020-09-15,1804,3
2020-09-16,1809,5
2020-09-17,1813,4
2020-09-18,1815,2
2020-09-19,1816,1
2020-09-20,1816,0
2020-09-21,1819,3
2020-09-22,1820,1
2020-09-23,1821,1
2020-09-24,1825,4
2020-09-25,1826,1
2020-09-26,1828,2
2020-09-27,1829,1
2020-09-28,1832,3
2020-09-29,1833,1
2020-09-30,1833,0
2020-10-01,1838,5
2020-10-02,1839,1
2020-10-03,1839,0
2020-10-04,1840,1
2020-10-05,1842,2
2020-10-06,1843,1
2020-10-07,1845,2
2020-10-08,1848,3
2020-10-09,1851,3
2020-10-10,1855,4
2020-10-11,1859,4
2020-10-12,1865,6
2020-10-13,1872,7
2020-10-14,1877,5
2020-10-15,1883,6
2020-10-16,1893,10
2020-10-17,1900,7
2020-10-18,1908,8
2020-10-19,1925,17
2020-10-20,1936,11
2020-10-21,1954,18
2020-10-22,1979,25
2020-10-23,2005,26
2020-10-24,2031,26
2020-10-25,2053,22
2020-10-26,2073,20
2020-10-27,2115,42
2020-10-28,2159,44
2020-10-29,2216,57
2020-10-30,2258,42
2020-10-31,2319,61
2020-11-01,2380,61
2020-11-02,2441,61
2020-11-03,2521,80
2020-11-04,2604,83
2020-11-05,2685,81
2020-11-06,2779,94
2020-11-07,2850,71
2020-11-08,2939,89
2020-11-09,3026,87
2020-11-10,3114,88
2020-11-11,3207,93
2020-11-12,3315,108
2020-11-13,3403,88
2020-11-14,3485,82
2020-11-15,3570,85
2020-11-16,3664,94
2020-11-17,3759,95
2020-11-18,3869,110
2020-11-19,3954,85
2020-11-20,4038,84
2020-11-21,4120,82
2020-11-22,4202,82
2020-11-23,4300,98
2020-11-24,4392,92
2020-11-25,4485,93
2020-11-26,4564,79
2020-11-27,4652,88
2020-11-28,4741,89
2020-11-29,4825,84
2020-11-30,4920,95
2020-12-01,5008,88
2020-12-02,5101,93
2020-12-03,5182,81
2020-12-04,5264,82
2020-12-05,5360,96
2020-12-06,5430,70
2020-12-07,5510,80
2020-12-08,5607,97
2020-12-09,5694,87
2020-12-10,5777,83
2020-12-11,5867,90
2020-12-12,5952,85
2020-12-13,6037,85
2020-12-14,6136,99
2020-12-15,6227,91
2020-12-16,6321,94
2020-12-17,6410,89
2020-12-18,6502,92
2020-12-19,6582,80
2020-12-20,6681,99
2020-12-21,6770,89
2020-12-22,6852,82
2020-12-23,6933,81
2020-12-24,7022,89
2020-12-25,7085,63
2020-12-26,7182,97
2020-12-27,7274,92
2020-12-28,7358,84
2020-12-29,7436,78
2020-12-30,7528,92
2020-12-31,7610,82
2021-01-01,7686,76
2021-01-02,7756,70
2021-01-03,7823,67
2021-01-04,7874,51
2021-01-05,7938,64
2021-01-06,8001,63
2021-01-07,8066,65
2021-01-08,8115,49
2021-01-09,8184,69
2021-01-10,8242,58
2021-01-11,8301,59
2021-01-12,8356,55
2021-01-13,8416,60
2021-01-14,8465,49
2021-01-15,8530,65
2021-01-16,8581,51
2021-01-17,8618,37
2021-01-18,8656,38
2021-01-19,8718,62
2021-01-20,8764,46
2021-01-21,8811,47
2021-01-22,8855,44
2021-01-23,8901,46
2021-01-24,8950,49
2021-01-25,8982,32
2021-01-26,9023,41
2021-01-27,9057,34
2021-01-28,9099,42
2021-01-29,9135,36
2021-01-30,9165,30
2021-01-31,9192,27
2021-02-01,9223,31
2021-02-02,9247,24
2021-02-03,9266,19
2021-02-04,9290,24
2021-02-05,9312,22
2021-02-06,9338,26
2021-02-07,9357,19
2021-02-08,9377,20
2021-02-09,9393,16
2021-02-10,9417,24
2021-02-11,9431,14
2021-02-12,9446,15
2021-02-13,9464,18
2021-02-14,9486,22
2021-02-15,9505,19
2021-02-16,9513,8
2021-02-17,9522,9
2021-02-18,9532,10
2021-02-19,9546,14
2021-02-20,9561,15
2021-02-21,9572,11
2021-02-22,9581,9
2021-02-23,9591,10
2021-02-24,9599,8
2021-02-25,9609,10
2021-02-26,9618,9
2021-02-27,9628,10
2021-02-28,9635,7
2021-03-01,9643,8
2021-03-02,9654,11
2021-03-03,9663,9
2021-03-04,9672,9
2021-03-05,9682,10
2021-03-06,9690,8
2021-03-07,9699,9
2021-03-08,9709,10
2021-03-09,9717,8
2021-03-10,9729,12
2021-03-11,9742,13
2021-03-12,9751,9
2021-03-13,9765,14
2021-03-14,9774,9
2021-03-15,9783,9
2021-03-16,9794,11
2021-03-17,9807,13
2021-03-18,9816,9
2021-03-19,9825,9
2021-03-20,9829,4
2021-03-21,9836,7
2021-03-22,9841,5
2021-03-23,9853,12
2021-03-24,9860,7
2021-03-25,9873,13
2021-03-26,9877,4
2021-03-27,9887,10
2021-03-28,9896,9
2021-03-29,9901,5
2021-03-30,9913,12
2021-03-31,9927,14
2021-04-01,9939,12
2021-04-02,9945,6
2021-04-03,9957,12
2021-04-04,9967,10
2021-04-05,9984,17
2021-04-06,9994,10
2021-04-07,10004,10
2021-04-08,10009,5
2021-04-09,10017,8
2021-04-10,10023,6
2021-04-11,10030,7
2021-04-12,10033,3
2021-04-13,10043,10
2021-04-14,10049,6
2021-04-15,10053,4
2021-04-16,10060,7
2021-04-17,10069,9
2021-04-18,10076,7
2021-04-19,10084,8
2021-04-20,10093,9
2021-04-21,10098,5
2021-04-22,10105,7
2021-04-23,10115,10
2021-04-24,10121,6
2021-04-25,10130,9
2021-04-26,10143,13
2021-04-27,10154,11
2021-04-28,10161,7
2021-04-29,10169,8
2021-04-30,10179,10
2021-05-01,10191,12
2021-05-02,10199,8
2021-05-03,10204,5
2021-05-04,10208,4
2021-05-05,10219,11
2021-05-06,10223,4
2021-05-07,10230,7
2021-05-08,10235,5
2021-05-09,10240,5
2021-05-10,10246,6
2021-05-11,10250,4
2021-05-12,10250,0
2021-05-13,10255,5
2021-05-14,10259,4
2021-05-15,10261,2
2021-05-16,10270,9
2021-05-17,10271,1
2021-05-18,10274,3
2021-05-19,10280,6
2021-05-20,10283,3
2021-05-21,10293,10
2021-05-22,10298,5
2021-05-23,10303,5
2021-05-24,10307,4
2021-05-25,10311,4
2021-05-26,10313,2
2021-05-27,10316,3
2021-05-28,10318,2
2021-05-29,10322,4
2021-05-30,10322,0
2021-05-31,10324,2
2021-06-01,10325,1
2021-06-02,10328,3
2021-06-03,10334,6
2021-06-04,10338,4
2021-06-05,10340,2
2021-06-06,10346,6
2021-06-07,10348,2
2021-06-08,10350,2
2021-06-09,10352,2
2021-06-10,10355,3
2021-06-11,10358,3
2021-06-12,10360,2
2021-06-13,10362,2
2021-06-14,10362,0
2021-06-15,10363,1
2021-06-16,10367,4
2021-06-17,10370,3
2021-06-18,10373,3
2021-06-19,10373,0
2021-06-20,10374,1
2021-06-21,10376,2
2021-06-22,10376,0
2021-06-23,10377,1
2021-06-24,10378,1
2021-06-25,10379,1
2021-06-26,10379,0
2021-06-27,10381,2
2021-06-28,10381,0
2021-06-29,10383,2
2021-06-30,10383,0
2021-07-01,10383,0
2021-07-02,10384,1
2021-07-03,10384,0
2021-07-04,10384,0
2021-07-05,10384,0
2021-07-06,10384,0
2021-07-07,10384,0
2021-07-08,10384,0
2021-07-09,10385,1
2021-07-10,10386,1
2021-07-11,10387,1
2021-07-12,10387,0
2021-07-13,10388,1
2021-07-14,10388,0
2021-07-15,10388,0
2021-07-16,10388,0
2021-07-17,10389,1
2021-07-18,10389,0
2021-07-19,10390,1
2021-07-20,10390,0
2021-07-21,10392,2
2021-07-22,10392,0
2021-07-23,10392,0
2021-07-24,10393,1
2021-07-25,10394,1
2021-07-26,10395,1
2021-07-27,10400,5
2021-07-28,10403,3
2021-07-29,10404,1
2021-07-30,10404,0
2021-07-31,10404,0
2021-08-01,10405,1
2021-08-02,10406,1
2021-08-03,10407,1
2021-08-04,10407,0
2021-08-05,10407,0
2021-08-06,10407,0
2021-08-07,10407,0
2021-08-08,10408,1
2021-08-09,10410,2
2021-08-10,10412,2
2021-08-11,10415,3
2021-08-12,10417,2
2021-08-13,10418,1
2021-08-14,10421,3
2021-08-15,10423,2
2021-08-16,10426,3
2021-08-17,10430,4
2021-08-18,10431,1
2021-08-19,10435,4
2021-08-20,10442,7
2021-08-21,10445,3
2021-08-22,10448,3
2021-08-23,10454,6
2021-08-24,10462,8
2021-08-25,10466,4
2021-08-26,10473,7
2021-08-27,10477,4
2021-08-28,10485,8
2021-08-29,10490,5
2021-08-30,10503,13
2021-08-31,10507,4
2021-09-01,10515,8
2021-09-02,10519,4
2021-09-03,10528,9
2021-09-04,10534,6
2021-09-05,10543,9
2021-09-06,10551,8
2021-09-07,10562,11
2021-09-08,10569,7
2021-09-09,10576,7
2021-09-10,10581,5
2021-09-11,10588,7
2021-09-12,10598,10
2021-09-13,10606,8
2021-09-14,10609,3
2021-09-15,10616,7
2021-09-16,10619,3
2021-09-17,10630,11
2021-09-18,10634,4
2021-09-19,10640,6
2021-09-20,10644,4
2021-09-21,10648,4
2021-09-22,10654,6
2021-09-23,10661,7
2021-09-24,10670,9
2021-09-25,10675,5
2021-09-26,10682,7
2021-09-27,10685,3
2021-09-28,10692,7
2021-09-29,10703,11
2021-09-30,10704,1
2021-10-01,10709,5
2021-10-02,10714,5
2021-10-03,10717,3
2021-10-04,10721,4
2021-10-05,10727,6
2021-10-06,10728,1
2021-10-07,10736,8
2021-10-08,10739,3
2021-10-09,10744,5
2021-10-10,10748,4
2021-10-11,10758,10
2021-10-12,10764,6
2021-10-13,10770,6
2021-10-14,10773,3
2021-10-15,10776,3
2021-10-16,10776,0
2021-10-17,10780,4
2021-10-18,10782,2
2021-10-19,10788,6
2021-10-20,10797,9
2021-10-21,10800,3
2021-10-22,10805,5
2021-10-23,10809,4
2021-10-24,10813,4
2021-10-25,10821,8
2021-10-26,10826,5
2021-10-27,10836,10
2021-10-28,10843,7
2021-10-29,10847,4
2021-10-30,10853,6
2021-10-31,10858,5
2021-11-01,10863,5
2021-11-02,10866,3
2021-11-03,10869,3
2021-11-04,10872,3
2021-11-05,10879,7
2021-11-06,10882,3
2021-11-07,10892,10
2021-11-08,10902,10
2021-11-09,10913,11
2021-11-10,10918,5
2021-11-11,10931,13
2021-11-12,10938,7
2021-11-13,10945,7
2021-11-14,10953,8
2021-11-15,10961,8
2021-11-16,10975,14
2021-11-17,10988,13
2021-11-18,11005,17
2021-11-19,11011,6
2021-11-20,11020,9
2021-11-21,11033,13
2021-11-22,11053,20
2021-11-23,11072,19
2021-11-24,11090,18
2021-11-25,11098,8
2021-11-26,11112,14
2021-11-27,11128,16
2021-11-28,11147,19
2021-11-29,11168,21
2021-11-30,11195,27
2021-12-01,11224,29
2021-12-02,11250,26
2021-12-03,11274,24
2021-12-04,11296,22
2021-12-05,11321,25
2021-12-06,11356,35
2021-12-07,11379,23
2021-12-08,11408,29
2021-12-09,11437,29
2021-12-10,11459,22
2021-12-11,11481,22
2021-12-12,11511,30
2021-12-13,11533,22
2021-12-14,11568,35
2021-12-15,11601,33
2021-12-16,11631,30
2021-12-17,11655,24
2021-12-18,11676,21
2021-12-19,11696,20
2021-12-20,11725,29
2021-12-21,11745,20
2021-12-22,11770,25
2021-12-23,11796,26
2021-12-24,11807,11
2021-12-25,11828,21
2021-12-26,11842,14
2021-12-27,11859,17
2021-12-28,11884,25
2021-12-29,11898,14
2021-12-30,11921,23
2021-12-31,11945,24
2022-01-01,11963,18
2022-01-02,11975,12
2022-01-03,11987,12
2022-01-04,11997,10
2022-01-05,12010,13
2022-01-06,12022,12
2022-01-07,12050,28
2022-01-08,12067,17
2022-01-09,12077,10
2022-01-10,12095,18
2022-01-11,12108,13
2022-01-12,12118,10
2022-01-13,12132,14
2022-01-14,12147,15
2022-01-15,12163,16
2022-01-16,12177,14
2022-01-17,12189,12
2022-01-18,12206,17
2022-01-19,12227,21
2022-01-20,12247,20
2022-01-21,12260,13
2022-01-22,12278,18
2022-01-23,12290,12
2022-01-24,12298,8
2022-01-25,12317,19
2022-01-26,12328,11
2022-01-27,12339,11
2022-01-28,12356,17
2022-01-29,12371,15
2022-01-30,12394,23
2022-01-31,12408,14
2022-02-01,12423,15
2022-02-02,12443,20
2022-02-03,12455,12
2022-02-04,12462,7
2022-02-05,12476,14
2022-02-06,12491,15
2022-02-07,12509,18
2022-02-08,12523,14
2022-02-09,12538,15
2022-02-10,12550,12
2022-02-11,12570,20
2022-02-12,12582,12
2022-02-13,12592,10
2022-02-14,12599,7
2022-02-15,12611,12
2022-02-16,12620,9
2022-02-17,12632,12
2022-02-18,12639,7
2022-02-19,12654,15
2022-02-20,12665,11
2022-02-21,12681,16
2022-02-22,12692,11
2022-02-23,12706,14
2022-02-24,12716,10
2022-02-25,12728,12
2022-02-26,12737,9
2022-02-27,12751,14
2022-02-28,12757,6
2022-03-01,12763,6
2022-03-02,12772,9
2022-03-03,12778,6
2022-03-04,12787,9
2022-03-05,12795,8
2022-03-06,12803,8
2022-03-07,12809,6
2022-03-08,12819,10
2022-03-09,12829,10
2022-03-10,12842,13
2022-03-11,12848,6
2022-03-12,12859,11
2022-03-13,12869,10
2022-03-14,12883,14
2022-03-15,12894,11
2022-03-16,12907,13
2022-03-17,12921,14
2022-03-18,12938,17
2022-03-19,12955,17
2022-03-20,12966,11
2022-03-21,12979,13
2022-03-22,12986,7
2022-03-23,13006,20
2022-03-24,13013,7
2022-03-25,13029,16
2022-03-26,13044,15
2022-03-27,13056,12
2022-03-28,13062,6
2022-03-29,13074,12
2022-03-30,13081,7
2022-03-31,13085,4
2022-04-01,13093,8
2022-04-02,13103,10
2022-04-03,13111,8
2022-04-04,13115,4
2022-04-05,13122,7
2022-04-06,13135,13
2022-04-07,13142,7
2022-04-08,13153,11
2022-04-09,13157,4
2022-04-10,13160,3
2022-04-11,13165,5
2022-04-12,13173,8
2022-04-13,13183,10
2022-04-14,13189,6
2022-04-15,13191,2
2022-04-16,13194,3
2022-04-17,13201,7
2022-04-18,13205,4
2022-04-19,13207,2
2022-04-20,13213,6
2022-04-21,13217,4
2022-04-22,13224,7
2022-04-23,13226,2
2022-04-24,13230,4
2022-04-25,13233,3
2022-04-26,13233,0
2022-04-27,13235,2
2022-04-28,13238,3
2022-04-29,13238,0
2022-04-30,13240,2
2022-05-01,13246,6
2022-05-02,13250,4
2022-05-03,13253,3
2022-05-04,13255,2
2022-05-05,13257,2
2022-05-06,13259,2
2022-05-07,13260,1
2022-05-08,13261,1
2022-05-09,13262,1
2022-05-10,13265,3
2022-05-11,13268,3
2022-05-12,13270,2
2022-05-13,13271,1
2022-05-14,13272,1
2022-05-15,13272,0
2022-05-16,13274,2
2022-05-17,13276,2
2022-05-18,13278,2
2022-05-19,13278,0
2022-05-20,13280,2
2022-05-21,13284,4
2022-05-22,13286,2
2022-05-23,13287,1
2022-05-24,13288,1
2022-05-25,13288,0
2022-05-26,13289,1
2022-05-27,13289,0
2022-05-28,13289,0
2022-05-29,13290,1
2022-05-30,13290,0
2022-05-31,13291,1
2022-06-01,13292,1
2022-06-02,13293,1
2022-06-03,13294,1
2022-06-04,13297,3
2022-06-05,13297,0
2022-06-06,13299,2
2022-06-07,13301,2
2022-06-08,13302,1
2022-06-09,13302,0
2022-06-10,13302,0
2022-06-11,13302,0
2022-06-12,13303,1
2022-06-13,13304,1
2022-06-14,13307,3
2022-06-15,13307,0
2022-06-16,13308,1
2022-06-17,13309,1
2022-06-18,13310,1
2022-06-19,13313,3
2022-06-20,13314,1
2022-06-21,13315,1
2022-06-22,13316,1
2022-06-23,13320,4
2022-06-24,13324,4
2022-06-25,13326,2
2022-06-26,13326,0
2022-06-27,13329,3
2022-06-28,13333,4
2022-06-29,13337,4
2022-06-30,13339,2
2022-07-01,13342,3
2022-07-02,13343,1
2022-07-03,13344,1
2022-07-04,13351,7
2022-07-05,13357,6
2022-07-06,13362,5
2022-07-07,13367,5
2022-07-08,13373,6
2022-07-09,13379,6
2022-07-10,13382,3
2022-07-11,13386,4
2022-07-12,13390,4
2022-07-13,13397,7
2022-07-14,13400,3
2022-07-15,13404,4
2022-07-16,13411,7
2022-07-17,13414,3
2022-07-18,13420,6
2022-07-19,13425,5
2022-07-20,13430,5
2022-07-21,13432,2
2022-07-22,13438,6
2022-07-23,13444,6
2022-07-24,13449,5
2022-07-25,13454,5
2022-07-26,13463,9
2022-07-27,13466,3
2022-07-28,13471,5
2022-07-29,13475,4
2022-07-30,13485,10
2022-07-31,13491,6
2022-08-01,13493,2
2022-08-02,13496,3
2022-08-03,13501,5
2022-08-04,13505,4
2022-08-05,13509,4
2022-08-06,13511,2
2022-08-07,13512,1
2022-08-08,13515,3
2022-08-09,13520,5
2022-08-10,13522,2
2022-08-11,13526,4
2022-08-12,13527,1
2022-08-13,13530,3
2022-08-14,13532,2
2022-08-15,13533,1
2022-08-16,13537,4
2022-08-17,13540,3
2022-08-18,13543,3
2022-08-19,13544,1
2022-08-20,13546,2
2022-08-21,13547,1
2022-08-22,13547,0
2022-08-23,13552,5
2022-08-24,13556,4
2022-08-25,13556,0
2022-08-26,13558,2
2022-08-27,13558,0
2022-08-28,13560,2
2022-08-29,13560,0
2022-08-30,13562,2
2022-08-31,13563,1
2022-09-01,13565,2
2022-09-02,13565,0
2022-09-03,13567,2
2022-09-04,13570,3
2022-09-05,13572,2
2022-09-06,13572,0
2022-09-07,13573,1
2022-09-08,13574,1
2022-09-09,13574,0
2022-09-10,13576,2
2022-09-11,13577,1
2022-09-12,13580,3
2022-09-13,13581,1
2022-09-14,13581,0
2022-09-15,13581,0
2022-09-16,13582,1
2022-09-17,13583,1
2022-09-18,13585,2
2022-09-19,13587,2
2022-09-20,13588,1
2022-09-21,13589,1
2022-09-22,13593,4
2022-09-23,13594,1
2022-09-24,13595,1
2022-09-25,13596,1
2022-09-26,13596,0
2022-09-27,13598,2
2022-09-28,13598,0
2022-09-29,13601,3
2022-09-30,13606,5
2022-10-01,13610,4
2022-10-02,13611,1
2022-10-03,13612,1
2022-10-04,13612,0
2022-10-05,13616,4
2022-10-06,13618,2
2022-10-07,13621,3
2022-10-08,13625,4
2022-10-09,13629,4
2022-10-10,13630,1
2022-10-11,13632,2
2022-10-12,13639,7
2022-10-13,13643,4
2022-10-14,13645,2
2022-10-15,13648,3
2022-10-16,13652,4
2022-10-17,13655,3
2022-10-18,13659,4
2022-10-19,13666,7
2022-10-20,13671,5
2022-10-21,13675,4
2022-10-22,13679,4
2022-10-23,13683,4
2022-10-24,13685,2
2022-10-25,13690,5
2022-10-26,13692,2
2022-10-27,13696,4
2022-10-28,13702,6
2022-10-29,13706,4
2022-10-30,13708,2
2022-10-31,13711,3
2022-11-01,13716,5
2022-11-02,13720,4
2022-11-03,13724,4
2022-11-04,13726,2
2022-11-05,13728,2
2022-11-06,13729,1
2022-11-07,13729,0
2022-11-08,13733,4
2022-11-09,13734,1
2022-11-10,13735,1
2022-11-11,13736,1
2022-11-12,13740,4
2022-11-13,13740,0
2022-11-14,13743,3
2022-11-15,13746,3
2022-11-16,13752,6
2022-11-17,13756,4
2022-11-18,13759,3
2022-11-19,13761,2
2022-11-20,13765,4
2022-11-21,13769,4
2022-11-22,13771,2
2022-11-23,13775,4
2022-11-24,13778,3
2022-11-25,13781,3
2022-11-26,13781,0
2022-11-27,13782,1
2022-11-28,13785,3
2022-11-29,13786,1
2022-11-30,13789,3
2022-12-01,13794,5
2022-12-02,13797,3
2022-12-03,13800,3
2022-12-04,13803,3
2022-12-05,13806,3
2022-12-06,13809,3
2022-12-07,13814,5
2022-12-08,13817,3
2022-12-09,13821,4
2022-12-10,13824,3
2022-12-11,13828,4
2022-12-12,13829,1
2022-12-13,13832,3
2022-12-14,13837,5
2022-12-15,13841,4
2022-12-16,13848,7
2022-12-17,13850,2
2022-12-18,13853,3
2022-12-19,13854,1
2022-12-20,13855,1
2022-12-21,13858,3
2022-12-22,13860,2
2022-12-23,13862,2
2022-12-24,13865,3
2022-12-25,13869,4
2022-12-26,13870,1
2022-12-27,13876,6
2022-12-28,13878,2
2022-12-29,13879,1
2022-12-30,13882,3
2022-12-31,13884,2
2023-01-01,13889,5
