geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff,timeframe_2w,timeframe_4w,sum2w,sum4w,mean2w,mean4w,sumTotal_last2w,sumTotal_last4w,inzmean2w,inzmean4w,inzsumTotal_last2w,inzsumTotal_last4w,inzsum2w,inzsum4w,entries_letzter_stand,entries_neu_gemeldet,entries_diff_last_age,entries_diff_last
CH,202111,10494,TRUE,582029,1,100,8738791,120.09,6660.29,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-11,1711,19.58,19.5,0,FALSE,FALSE,19277,34068,9638.5,8517,NA,NA,110.3,97.46,NA,NA,220.59,389.85,10494,0,7,3039
CH,202112,12530,TRUE,594559,1,100,8738791,143.38,6803.68,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-12,2036,23.29,19.4,0,FALSE,FALSE,23024,39388,11512,9847,NA,NA,131.73,112.68,NA,NA,263.47,450.73,12530,0,7,3039
CH,202113,12286,TRUE,606845,1,100,8738791,140.59,6944.27,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-13,-244,-2.79,-1.9,0,FALSE,FALSE,24816,44093,12408,11023.25,NA,NA,141.99,126.14,NA,NA,283.98,504.57,12286,0,7,3039
CH,202114,14136,TRUE,620981,1,100,8738791,161.76,7106.03,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-14,1850,21.17,15.1,0,FALSE,FALSE,26422,49446,13211,12361.5,NA,NA,151.18,141.46,NA,NA,302.35,565.82,14136,0,7,3039
CH,202115,14077,TRUE,635058,1,100,8738791,161.09,7267.12,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-15,-59,-0.67,-0.4,0,FALSE,FALSE,28213,53029,14106.5,13257.25,NA,NA,161.42,151.71,NA,NA,322.85,606.82,14077,0,7,3039
CH,202116,14516,TRUE,649574,1,100,8738791,166.11,7433.23,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-16,439,5.02,3.1,0,FALSE,FALSE,28593,55015,14296.5,13753.75,NA,NA,163.6,157.39,NA,NA,327.2,629.55,14516,0,7,3039
CH,202117,11867,TRUE,661441,1,100,8738791,135.8,7569.02,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-17,-2649,-30.31,-18.2,0,FALSE,FALSE,26383,54596,13191.5,13649,NA,NA,150.95,156.19,NA,NA,301.91,624.75,11867,0,7,3039
CH,202118,10297,TRUE,671738,1,100,8738791,117.83,7686.85,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-18,-1570,-17.97,-13.2,0,FALSE,FALSE,22164,50757,11082,12689.25,NA,NA,126.81,145.21,NA,NA,253.63,580.82,10297,0,7,3039
CH,202119,7839,TRUE,679577,1,100,8738791,89.7,7776.56,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-19,-2458,-28.13,-23.9,0,FALSE,FALSE,18136,44519,9068,11129.75,NA,NA,103.77,127.36,NA,NA,207.53,509.44,7839,0,7,3039
CH,202120,7344,TRUE,686921,1,100,8738791,84.04,7860.6,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-20,-495,-5.66,-6.3,0,FALSE,FALSE,15183,37347,7591.5,9336.75,NA,NA,86.87,106.84,NA,NA,173.74,427.37,7344,0,7,3039
CH,202121,5109,TRUE,692030,1,100,8738791,58.46,7919.06,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-21,-2235,-25.58,-30.4,0,FALSE,FALSE,12453,30589,6226.5,7647.25,NA,NA,71.25,87.51,NA,NA,142.5,350.04,5109,0,7,3039
CH,202122,3516,TRUE,695546,1,100,8738791,40.23,7959.29,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-22,-1593,-18.23,-31.2,0,FALSE,FALSE,8625,23808,4312.5,5952,NA,NA,49.35,68.11,NA,NA,98.7,272.44,3516,0,7,3039
CH,202123,2313,TRUE,697859,1,100,8738791,26.47,7985.76,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-23,-1203,-13.76,-34.2,0,FALSE,FALSE,5829,18282,2914.5,4570.5,NA,NA,33.35,52.3,NA,NA,66.7,209.21,2313,0,7,3039
CH,202124,1238,TRUE,699097,1,100,8738791,14.17,7999.93,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-24,-1075,-12.3,-46.5,0,FALSE,FALSE,3551,12176,1775.5,3044,NA,NA,20.32,34.83,NA,NA,40.63,139.33,1238,0,7,3039
CH,202125,744,TRUE,699841,1,100,8738791,8.51,8008.44,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-25,-494,-5.66,-39.9,0,FALSE,FALSE,1982,7811,991,1952.75,NA,NA,11.34,22.35,NA,NA,22.68,89.38,744,0,7,3039
CH,202126,1026,TRUE,700867,1,100,8738791,11.74,8020.18,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-26,282,3.23,37.9,0,FALSE,FALSE,1770,5321,885,1330.25,NA,NA,10.13,15.22,NA,NA,20.25,60.89,1026,0,7,3039
CH,202127,2047,TRUE,702914,1,100,8738791,23.42,8043.61,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-27,1021,11.68,99.5,0,FALSE,FALSE,3073,5055,1536.5,1263.75,NA,NA,17.58,14.46,NA,NA,35.17,57.85,2047,0,7,3039
CH,202128,3798,TRUE,706712,1,100,8738791,43.46,8087.07,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-28,1751,20.04,85.5,0,FALSE,FALSE,5845,7615,2922.5,1903.75,NA,NA,33.44,21.79,NA,NA,66.89,87.14,3798,0,7,3039
CH,202129,4952,TRUE,711664,1,100,8738791,56.67,8143.74,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-29,1154,13.21,30.4,0,FALSE,FALSE,8750,11823,4375,2955.75,NA,NA,50.06,33.82,NA,NA,100.13,135.29,4952,0,7,3039
CH,202130,5251,TRUE,716915,1,100,8738791,60.09,8203.82,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-30,299,3.42,6,0,FALSE,FALSE,10203,16048,5101.5,4012,NA,NA,58.38,45.91,NA,NA,116.76,183.64,5251,0,7,3039
CH,202131,7622,TRUE,724537,1,100,8738791,87.22,8291.04,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-31,2371,27.13,45.2,0,FALSE,FALSE,12873,21623,6436.5,5405.75,NA,NA,73.65,61.86,NA,NA,147.31,247.44,7622,0,7,3039
CH,202132,14139,TRUE,738676,1,100,8738791,161.8,8452.84,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-32,6517,74.58,85.5,0,FALSE,FALSE,21761,31964,10880.5,7991,NA,NA,124.51,91.44,NA,NA,249.02,365.77,14139,0,7,3039
CH,202133,17952,TRUE,756628,1,100,8738791,205.43,8658.27,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-33,3813,43.63,27,0,FALSE,FALSE,32091,44964,16045.5,11241,NA,NA,183.61,128.63,NA,NA,367.22,514.53,17952,0,7,3039
CH,202134,17883,TRUE,774511,1,100,8738791,204.64,8862.91,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-34,-69,-0.79,-0.4,0,FALSE,FALSE,35835,57596,17917.5,14399,NA,NA,205.03,164.77,NA,NA,410.07,659.08,17883,0,7,3039
CH,202135,18763,TRUE,793274,1,100,8738791,214.71,9077.62,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-35,880,10.07,4.9,0,FALSE,FALSE,36646,68737,18323,17184.25,NA,NA,209.67,196.64,NA,NA,419.35,786.57,18763,0,7,3039
CH,202136,18147,TRUE,811421,1,100,8738791,207.66,9285.28,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-36,-616,-7.05,-3.3,0,FALSE,FALSE,36910,72745,18455,18186.25,NA,NA,211.18,208.11,NA,NA,422.37,832.44,18147,0,7,3039
CH,202137,12720,TRUE,824141,1,100,8738791,145.56,9430.84,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-37,-5427,-62.1,-29.9,0,FALSE,FALSE,30867,67513,15433.5,16878.25,NA,NA,176.61,193.14,NA,NA,353.22,772.57,12720,0,7,3039
CH,202138,9327,TRUE,833468,1,100,8738791,106.73,9537.57,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-38,-3393,-38.83,-26.7,0,FALSE,FALSE,22047,58957,11023.5,14739.25,NA,NA,126.14,168.66,NA,NA,252.29,674.66,9327,0,7,3039
CH,202139,7647,TRUE,841115,1,100,8738791,87.51,9625.07,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-39,-1680,-19.22,-18,0,FALSE,FALSE,16974,47841,8487,11960.25,NA,NA,97.12,136.86,NA,NA,194.24,547.46,7647,0,7,3039
CH,202140,6371,TRUE,847486,1,100,8738791,72.9,9697.98,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-40,-1276,-14.61,-16.7,0,FALSE,FALSE,14018,36065,7009,9016.25,NA,NA,80.21,103.18,NA,NA,160.41,412.7,6371,0,7,3039
CH,202141,6421,TRUE,853907,1,100,8738791,73.48,9771.45,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-41,50,0.58,0.8,0,FALSE,FALSE,12792,29766,6396,7441.5,NA,NA,73.19,85.15,NA,NA,146.38,340.62,6421,0,7,3039
CH,202142,8696,TRUE,862603,1,100,8738791,99.51,9870.96,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-42,2275,26.03,35.4,0,FALSE,FALSE,15117,29135,7558.5,7283.75,NA,NA,86.49,83.35,NA,NA,172.99,333.4,8696,0,7,3039
CH,202143,11537,TRUE,874140,1,100,8738791,132.02,10002.99,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-43,2841,32.51,32.7,0,FALSE,FALSE,20233,33025,10116.5,8256.25,NA,NA,115.77,94.48,NA,NA,231.53,377.91,11537,0,7,3039
CH,202144,17225,TRUE,891365,1,100,8738791,197.11,10200.1,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-44,5688,65.09,49.3,0,FALSE,FALSE,28762,43879,14381,10969.75,NA,NA,164.57,125.53,NA,NA,329.13,502.12,17225,0,7,3039
CH,202145,24881,TRUE,916246,1,100,8738791,284.72,10484.81,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-45,7656,87.61,44.4,0,FALSE,FALSE,42106,62339,21053,15584.75,NA,NA,240.91,178.34,NA,NA,481.83,713.36,24881,0,7,3039
CH,202146,37727,TRUE,953973,1,100,8738791,431.72,10916.53,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-46,12846,147,51.6,0,FALSE,FALSE,62608,91370,31304,22842.5,NA,NA,358.22,261.39,NA,NA,716.44,1045.57,37727,0,7,3039
CH,202147,51094,TRUE,1005067,1,100,8738791,584.68,11501.21,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-47,13367,152.96,35.4,0,FALSE,FALSE,88821,130927,44410.5,32731.75,NA,NA,508.2,374.56,NA,NA,1016.4,1498.23,51094,0,7,3039
CH,202148,63060,TRUE,1068127,1,100,8738791,721.61,12222.82,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-48,11966,136.93,23.4,0,FALSE,FALSE,114154,176762,57077,44190.5,NA,NA,653.15,505.68,NA,NA,1306.29,2022.73,63060,0,7,3039
CH,202149,64308,TRUE,1132435,1,100,8738791,735.89,12958.71,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-49,1248,14.28,2,0,FALSE,FALSE,127368,216189,63684,54047.25,NA,NA,728.75,618.48,NA,NA,1457.5,2473.9,64308,0,7,3039
CH,202150,60574,TRUE,1193009,1,100,8738791,693.16,13651.88,COVID19Cases,,2023-11-28_06-00-38,isoweek,2021-50,-3734,-42.73,-5.8,0,FALSE,FALSE,124882,239036,62441,59759,NA,NA,714.53,683.84,NA,NA,1429.05,2735.34,60574,0,7,3039
